0min 100W,,,,60min 100W,,,,,,,,,,,,,,0min 50W,,,,,,,,,,,,75min 50W,,,,,,,,0 min 100W,,,,,,,,60 min 100W,,,,,,,,,,,,,,0min 50W,,,,,,,,75min 50W,,,,,,0 min 100W 100%,60 min 100W 100%,,,,,0 min 50W 100%,,,,,75 min 50W 100%,,,0min 100W 11-16%,,,60min 100W 11-16%,,,,,,0min 50W 11-16%,,,75min 50W 11-16%,,,,1020,,,,,,,,,,,60 min 100W,absolute error ,0 min 100 W,error,75min 50W,error,0 min 50 W,error,,
,,110923,,,,101223,,092823 - IR out,,91523,,83123,,102824,,Average,st. dev.,,,010324 -2nd good,,122123 -power surge,,122723 -purge,,121823 -oscillate,,Average,st. dev.,,,010523,,122923 -purge,,Average,st. dev.,,,81524,,81624,,Average,st. dev.,,,71824,,090324 -purge,,92424,,100824 -purge,,101524,,Average,st. dev.,,,82724,,083024 -purge,,Average,st. dev.,,,91724,,,,110923,101223,92823,91523,83123,ave,10324,122123,122723,121823,ave,10524,122923,ave,81524,81624,ave,71824,90324,92424,100824,101524,ave,82724,83024,ave,91724,,,,100%,,,,14-19%,,,,percentage,thickness,,0,0,0,0,0,0,0,0,,
Temp,Fluence,Integrated Absorbance,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,,,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,,,,temp,fluence,norm. int. absorbance,error,temp,fluence,norm. int. absorbance,error,,,,1.62E+17,4.2E+16,1.62E+17,4.2E+16,1.515E+17,2.25E+16,1.515E+17,2.25E+16,,0
160K,2.43E+18,-0.0016,-0.000247257,100K,2.43E+18,,,,,,,,,,,,,160K,2.2725E+18,0.00506,0.000733865,0.00114,0.000178571,0.01761,0.002603489,0.00068,0.000102117,0.000904511,0.001167115,100K,2.2725E+18,0.01537,0.002377417,0.02116,0.003463175,0.002920296,0.000542879,160K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8868E-05,,,,,,0.000204402,4.97371E-05,0.000862679,2.82248E-05,0.000286261,0.000657108,0.000957207,0.000807157,,,,,,,,,,,,,,,3.888E+18,-0.000358946,,,,,,,,,,,,,,,,,,,,,
170K,2.592E+18,-0.00233,-0.000360068,110K,2.592E+18,0.00969,0.001499304,0.00048,8.9153E-05,0.01612,0.002802991,0.00591,0.002194253,,,0.001463816,0.001166833,170K,2.424E+18,0.00366,0.000530819,-0.00042,-6.57895E-05,0.01844,0.002726198,-0.0022,-0.00033038,0.000715212,0.001388199,110K,2.424E+18,0.01408,0.002177881,0.01852,0.003031097,0.002604489,0.000426608,170K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000100289,0.000417598,2.48316E-05,0.000780711,0.000611161,4.08E-04,0.000147848,1.83242E-05,0.000898092,9.13156E-05,0.000288895,0.000601957,0.000837782,0.000719869,,,,,,,,,,,,,,,4.212E+18,-0.000642314,,,,,,,,,,,,,,,,,,,,,
180K,2.754E+18,-0.00305,-0.000471334,120K,2.754E+18,,,,,,,,,,,,,180K,2.5755E+18,0.0025,0.000362582,0.00036,5.6391E-05,0.01797,0.002656712,-0.00264,-0.000396456,0.000669807,0.001360805,120K,2.5755E+18,0.01297,0.002006187,0.01638,0.002680851,0.002343519,0.000337332,180K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013128,,,,,,0.000100989,1.57065E-05,0.000884092,0.000109579,0.000277591,0.000554501,0.000740976,0.000647738,,,,,,,,,,,,,,,4.536E+18,-0.000543902,,,,,,,,,,,,,,,,,,,,,
190K,2.916E+18,-0.00444,-0.000686138,130K,2.916E+18,0.00251,0.000388365,0.0015,0.000278603,0.00999,0.001737089,0.00025,9.28195E-05,,,0.000801352,0.000751874,190K,2.727E+18,0.0003,4.35098E-05,-0.00282,-0.000441729,0.0173,0.002557658,-0.00308,-0.000462532,0.000424227,0.001441376,130K,2.727E+18,0.00946,0.001463264,0.01914,0.00313257,0.002297917,0.000834653,190K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000191109,0.00010817,7.75988E-05,0.000483828,2.58528E-05,2.23E-04,1.21187E-05,0.000123034,0.000855267,0.000127842,0.000279565,0.00040444,0.000865829,0.000635134,,,,,,,,,,,,,,,4.86E+18,-8.98752E-05,,,,,,,,,,,,,,,,,,,,,
200K,3.078E+18,-0.00549,-0.000848401,140K,3.078E+18,,,,,,,,,,,,,200K,2.8785E+18,0.00114,0.000165337,-0.00333,-0.000521617,0.01671,0.002470432,-0.00406,-0.000609701,0.000376113,0.001438558,140K,2.8785E+18,0.00495,0.000765661,,,0.000765661,,200K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000236303,,,,,,4.6051E-05,0.000145285,0.000835913,0.000168519,0.000298942,0.000211625,,0.000211625,,,,,,,,,,,,,,,5.184E+18,-0.000270421,,,,,,,,,,,,,,,,,,,,,
210K,3.24E+18,-0.00623,-0.000962757,150K,3.24E+18,-0.0037,-0.00057249,-0.0007,-0.000130015,0.00108,0.000187793,-0.00716,-0.00265835,,,-0.00017157,0.001281881,210K,3.03E+18,0.00032,4.64104E-05,-0.000415,-6.50063E-05,0.001657,0.000244973,-0.00241,-0.000361916,-3.38847E-05,0.000253497,150K,3.03E+18,0.00193,0.000298531,-0.00213,-0.000348609,-2.50391E-05,0.00032357,210K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000268155,0.000159454,3.62128E-05,5.23057E-05,0.000740425,8.27E-05,1.29266E-05,1.81061E-05,0.000837972,0.000100032,0.000242259,8.25125E-05,9.6354E-05,8.94333E-05,,,,,,,,,,,,,,,5.508E+18,-0.000286983,,,,,,,,,,,,,,,,,,,,,
220K,3.402E+18,-0.00624,-0.000964302,160K,3.402E+18,,,,,,,,,,,,,220K,3.1815E+18,0.00119,0.000172589,-0.00187,-0.00029292,0.001666,0.000246304,-0.0036,-0.000540622,-0.000103662,0.000376627,160K,3.1815E+18,-0.00247,-0.000382057,-0.00778,-0.001273322,-0.00082769,0.000445633,220K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000268585,,,,,,4.80708E-05,8.15864E-05,0.000842502,0.000149425,0.000280396,0.000105599,0.000351941,0.00022877,,,,,,,,,,,,,,,5.832E+18,-0.000490468,,,,,,,,,,,,,,,,,,,,,
230K,3.564E+18,-0.00548,-0.000846855,170K,3.564E+18,-0.00684,-0.001058332,0.00187,0.000347325,0.00253,0.000439923,-0.00063,-0.000233905,,,-9.0361E-05,0.000689249,230K,3.333E+18,0.00037,5.36621E-05,-0.00354,-0.000554511,0.001628,0.000240686,-0.00572,-0.000858988,-0.000279788,0.000514142,170K,3.333E+18,-0.0056,-0.000866203,0.00426,0.000697218,-8.44925E-05,0.00078171,230K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000235873,0.000294775,9.67398E-05,0.000122531,6.51491E-05,1.71E-04,1.49464E-05,0.000154447,0.000828913,0.00023742,0.000308932,0.000239415,0.000192708,0.000216061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240K,3.726E+18,-0.00518,-0.000800495,180K,3.726E+18,,,,,,,,,,,,,240K,3.4845E+18,0.00122,0.00017694,-0.00199,-0.000311717,0.001576,0.000232998,-0.00169,-0.000253792,-3.88927E-05,0.000283504,180K,3.4845E+18,-0.00601,-0.000929621,-0.00079,-0.000129296,-0.000529459,0.000400162,240K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00022296,,,,,,4.92827E-05,8.68218E-05,0.000811618,7.0147E-05,0.000254467,0.000256943,3.57369E-05,0.00014634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250K,3.888E+18,-0.00488,-0.000754134,190K,3.888E+18,-0.00431,-0.000666873,-0.0007,-0.000130015,-0.00161,-0.000279951,-0.00922,-0.003423183,,,-0.000358946,0.001548723,250K,3.636E+18,0.00491,0.00071211,-0.0044,-0.000689223,0.001691,0.00025,-0.0045,-0.000675777,-0.000100722,0.000697788,190K,3.636E+18,-0.00646,-0.000999227,-0.00445,-0.000728314,-0.00086377,0.000135456,250K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000210047,0.000185743,3.62128E-05,7.79743E-05,0.000953452,1.00E-04,0.000198343,0.000191968,0.000851561,0.000186782,0.000357163,0.000276182,0.000201303,0.000238742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260K,4.05E+18,-0.00524,-0.000809767,200K,4.05E+18,,,,,,,,,,,,,260K,3.7875E+18,0.0051,0.000739666,-0.00409,-0.000640664,0.001762,0.000260497,-0.00466,-0.000699805,-8.50764E-05,0.000703844,200K,3.7875E+18,-0.0072,-0.001113689,-0.0031,-0.000507365,-0.000810527,0.000303162,260K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000225543,,,,,,0.000206018,0.000178443,0.000885739,0.000193423,0.000365906,0.000307819,0.000140233,0.000224026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270K,4.212E+18,-0.00375,-0.000579509,210K,4.212E+18,-0.00483,-0.000747331,,,-0.00309,-0.000537298,0.00789,0.002929383,,,-0.000642314,0.002064793,270K,3.939E+18,0.00648,0.000939811,-0.00356,-0.000557644,0.001784,0.000263749,-0.00381,-0.000572158,1.84397E-05,0.000727961,210K,3.939E+18,-0.00678,-0.001048724,-0.00291,-0.000476268,-0.000762496,0.000286228,270K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000161409,0.000208153,,0.000149652,0.000815915,1.79E-04,0.000261764,0.000155319,0.000890268,0.000158142,0.000366373,0.000289863,0.000131639,0.000210751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280K,4.374E+18,-0.00238,-0.000367795,220K,4.374E+18,,,,,,,,,,,,,280K,4.0905E+18,0.00565,0.000819434,-0.00324,-0.000507519,0.001742,0.00025754,-0.00282,-0.000423487,3.64921E-05,0.000624337,220K,4.0905E+18,-0.007,-0.001082753,-0.00063,-0.00010311,-0.000592931,0.000489822,280K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000102441,,,,,,0.000228235,0.000141358,0.000882033,0.00011705,0.000342169,0.000299268,2.84991E-05,0.000163884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290K,4.536E+18,-0.00301,-0.000465152,230K,4.536E+18,-0.0063,-0.00097478,,,-0.00065,-0.000113024,-0.00195,-0.000723992,,,-0.000543902,0.000443245,290K,4.242E+18,0.00669,0.000970268,-0.00383,-0.000599937,0.001746,0.000258131,-0.00364,-0.000546629,2.04584E-05,0.000745007,230K,4.242E+18,-0.0081,-0.0012529,-0.00042,-6.87398E-05,-0.00066082,0.00059208,290K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000129558,0.000271503,,3.14803E-05,0.000201652,1.51E-04,0.000270247,0.000167099,0.00088368,0.000151086,0.000368028,0.000346296,1.89994E-05,0.000182648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300K,4.698E+18,-0.00206,-0.000318343,240K,4.698E+18,,,,,,,,,,,,,300K,4.3935E+18,0.00577,0.000836838,-0.00343,-0.000537281,0.001852,0.000273802,-0.00545,-0.000818441,-6.12703E-05,0.000756916,240K,4.3935E+18,-0.00747,-0.001155452,-0.00211,-0.000345336,-0.000750394,0.000405058,300K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.86675E-05,,,,,,0.000233083,0.000149648,0.000923211,0.000226214,0.000383039,0.000319362,9.54492E-05,0.000207406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310K,4.86E+18,-0.00095,-0.000146809,250K,4.86E+18,-0.0043,-0.000665326,0.00067,0.000124443,0.00156,0.000271257,-0.0015,-0.000556917,,,-8.98752E-05,0.000472965,310K,4.545E+18,0.01004,0.001456128,-0.00376,-0.000588972,0.001964,0.000290361,-0.0027,-0.000405466,0.000188012,0.000926375,250K,4.545E+18,-0.00658,-0.001017788,-0.0008,-0.000130933,-0.00057436,0.000443428,310K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08904E-05,0.000185312,3.46608E-05,7.55527E-05,0.000155117,9.85E-05,0.000405572,0.000164045,0.000977566,0.000112069,0.000414813,0.000281312,3.61893E-05,0.000158751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,260K,5.022E+18,,,,,,,,,,,,,,,,,,,,,,,,,260K,4.6965E+18,-0.00678,-0.001048724,0.00007,1.14566E-05,-0.000518634,0.00053009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000289863,3.16656E-06,0.000146515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,270K,5.184E+18,-0.00437,-0.000676157,-0.00245,-0.000455052,0.00184,0.000319944,,,,,-0.000270421,0.000523088,,,,,,,,,,,,,270K,4.848E+18,-0.00596,-0.000921887,0.00226,0.000369885,-0.000276001,0.000645886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000188329,0.000126745,8.91135E-05,,1.35E-04,,,,,,0.000254806,0.000102235,0.00017852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,280K,5.346E+18,,,,,,,,,,,,,,,,,,,,,,,,,280K,4.9995E+18,-0.00583,-0.000901779,0.00251,0.000410802,-0.000245488,0.00065629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000249248,0.000113544,0.000181396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,290K,5.508E+18,-0.00205,-0.00031719,-0.00656,-0.001218425,0.00388,0.000674665,,,,,-0.000286983,0.000946907,,,,,,,,,,,,,290K,5.151E+18,-0.00707,-0.001093581,0.0024,0.000392799,-0.000350391,0.00074319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.83463E-05,0.000339365,0.000187913,,2.05E-04,,,,,,0.000302261,0.000108568,0.000205414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,300K,5.67E+18,,,,,,,,,,,,,,,,,,,,,,,,,300K,5.3025E+18,-0.00574,-0.000887858,0.00534,0.000873977,-6.9403E-06,0.000880917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002454,0.000241563,0.000243482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,310K,5.832E+18,-0.00357,-0.000552375,-0.00756,-0.00140416,0.00279,0.000485133,,,,,-0.000490468,0.000946167,,,,,,,,,,,,,310K,5.454E+18,-0.00359,-0.000555298,0.00621,0.001016367,0.000230534,0.000785832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000153852,0.000391098,0.000135123,,2.27E-04,,,,,,0.000153482,0.000280919,0.000217201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X-CHO/H2CO Production/Sublimation 1726 alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100% Methanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-16% Methanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720 cm-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0min 100W,,,,60min 100W,,,,,,,,,,,,,,0min 50W,,,,,,,,,,,,75min 50W,,,,,,,,0 min 100W,,,,,,,,60 min 100W,,,,,,,,,,,,,,0min 50W,,,,,,,,75min 50W,,,,,,0 min 100W 100%,60 min 100W 100%,,,,,0 min 50W 100%,,,,,75 min 50W 100%,,,0min 100W 11-16%,,,60min 100W 11-16%,,,,,,0min 50W 11-16%,,,75min 50W 11-16%,,,,1726,,,,,,,,,,,,,,,,,,,,
,,110923,,,,101223,,092823 - IR out,,91523,,83123,,102824,,Average,st. dev.,,,010324 -2nd good,,122123 -power surge,,122723 -purge,,121823 -oscillate,,Average,st. dev.,,,010523,,122923 -purge,,Average,st. dev.,,,81524,,81624,,Average,st. dev.,,,71824,,090324 -purge,,92424,,100824 -purge,,101524,,Average,st. dev.,,,82724,,083024 -purge,,Average,st. dev.,,,91724,,,,110923,101223,92823,91523,83123,ave,10324,122123,122723,121823,ave,10524,122923,ave,81524,81624,ave,71824,90324,92424,100824,101524,ave,82724,83024,ave,91724,,,,100%,,,,14-19%,,,,,,,,,,,,,,,,
Temp,Fluence,Integrated Absorbance,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,,,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,,fluence,normalized absorbance,temp,fluence,norm. int. absorbance,error,temp,fluence,norm. int. absorbance,error,,,,,,,,,,,,,
